,Movie_Name,Year_of_Release,C_Rating,Watch_Time_(min),Genre,Movie_Rating,Metascore,Votes,Gross_($M),Description
567,Gully Boy,(2019),Not Rated,154 min,"Drama, Music, Romance            ",7.9,65        ,"41,237",$5.57M,A coming-of-age story based on the lives of street rappers in Mumbai.
568,I Remember,(1973),R,123 min,"Comedy, Drama            ",7.9,,"45,016",$0.58M,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.
569,The Sacrifice,(1986),PG,149 min,Drama            ,7.9,,"29,505",$0.30M,"At the dawn of World War III, a man searches for a way to restore peace to the world and finds he must give something in return."
570,Harvey,(1950),Approved,104 min,"Comedy, Drama, Fantasy            ",7.9,,"56,773",,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows."
571,Le Cercle Rouge,(1970),Not Rated,140 min,"Crime, Drama, Thriller            ",7.9,92        ,"26,525",$0.37M,"After leaving prison, master thief Corey crosses paths with a notorious escapee and an alcoholic former policeman. The trio proceed to plot an elaborate heist."
572,In Cold Blood,(1967),R,134 min,"Biography, Crime, Drama            ",7.9,89        ,"27,656",,"Two ex-cons murder a family in a robbery attempt, before going on the run from the authorities. The police try to piece together the details of the murder in an attempt to track down the killers."
573,In a Lonely Place,(1950),Not Rated,94 min,"Drama, Film-Noir, Mystery            ",7.9,,"33,058",,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts."
574,"4 Months, 3 Weeks and 2 Days",(2007),Not Rated,113 min,Drama            ,7.9,97        ,"61,741",$1.19M,A woman assists her friend in arranging an illegal abortion in 1980s Romania.
575,Kagemusha,(1980),PG,162 min,"Drama, History, War            ",7.9,84        ,"36,762",,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.
576,The Lost Weekend,(1945),Passed,101 min,"Drama, Film-Noir            ",7.9,,"38,586",$9.46M,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.
577,Miracle on 34th Street,(1947),Not Rated,96 min,"Comedy, Drama, Family            ",7.9,88        ,"51,167",$2.65M,"After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mistaken."
578,3-Iron,(2004),R,88 min,"Crime, Drama, Romance            ",7.9,72        ,"56,520",$0.24M,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.
579,Super 30,(2019),Not Rated,154 min,"Biography, Drama            ",7.9,,"33,887",$2.27M,Based on the life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.
580,Elevator to the Gallows,(1958),Not Rated,91 min,"Crime, Drama, Thriller            ",7.9,94        ,"27,033",$0.11M,"A self-assured businessman murders his employer, the husband of his mistress, which unintentionally provokes an ill-fated chain of events."
581,About Elly,(2009),TV-PG,119 min,"Drama, Mystery            ",7.9,87        ,"54,979",$0.11M,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.
582,Battleship Potemkin,(1925),Not Rated,66 min,"Drama, History, Thriller            ",7.9,97        ,"59,432",$0.05M,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre."
583,The Way He Looks,(2014),Not Rated,96 min,"Drama, Romance            ",7.9,71        ,"26,407",$0.10M,"Leonardo is a blind teenager searching for independence. His everyday life, the relationship with his best friend Giovana, and the way he sees the world change completely with the arrival of Gabriel."
