,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
379,Màu Của Ảo Giác,(1997),81 min,8.0,67        ,"82,901",$0.78M,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past."
380,Akira,(1988),124 min,8.0,67        ,"192,779",$0.55M,"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics."
381,Sát Thủ Vô Hình,(2016),106 min,8.0,****,"182,153",%^%^%^,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.
382,JFK,(1991),189 min,8.0,72        ,"161,403",$70.41M,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.
383,Nhà Vua Nói Lắp,(2010),118 min,8.0,88        ,"690,546",$138.80M,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
384,Rosemary's Baby,(1968),137 min,8.0,96        ,"222,871",%^%^%^,"A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors."
385,Do the Right Thing,(1989),120 min,8.0,93        ,"105,790",$27.55M,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence."
386,Thị Trấn Dogville,(2003),178 min,8.0,59        ,"152,552",$1.53M,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price."
387,Frankenstein Trẻ,(1974),106 min,8.0,83        ,"162,374",$86.30M,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body."
388,Lion,(2016),118 min,8.0,69        ,"242,062",$51.74M,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family."
389,Butch Cassidy and the Sundance Kid,(1969),110 min,8.0,66        ,"220,278",$102.31M,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia."
390,Life of Brian,(1979),94 min,8.0,77        ,"407,776",$20.05M,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah."
391,Trùng Khánh Sâm Lâm,(1994),102 min,8.0,78        ,"87,222",$0.60M,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents."
392,Rio Bravo,(1959),141 min,8.0,93        ,"64,824",$12.54M,"A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy."
393,Diệp Vấn,(2008),106 min,8.0,59        ,"227,850",%^%^%^,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive."
394,Chim Ưng Malta,(1941),100 min,8.0,97        ,"161,856",$2.11M,"San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar and their quest for a priceless statuette, with the stakes rising after his partner is murdered."
395,Sóng Gió Cuộc Đời,(1996),135 min,8.0,84        ,"95,915",$24.48M,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town."
396,Võ Sĩ Quyền Anh,(2005),144 min,8.0,69        ,"191,897",$61.65M,"The story of James J. Braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world."
397,Dieu Gi Da Xay Ra Voi Baby Jane?,(1962),134 min,8.0,75        ,"58,609",$4.05M,A former child star torments her paraplegic sister in their decaying Hollywood mansion.
398,Người Tù Khổ Sai,(1973),151 min,8.0,58        ,"133,767",$53.27M,"A French convict in the 1930s befriends a fellow criminal as the two of them begin serving their sentence in the South American penal colony on Devil's Island, which inspires the man to plot his escape."
399,Bãhubali: The Beginning,(2015),159 min,8.0,****,"129,435",$6.74M,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples."
400,Annie Hall,(1977),93 min,8.0,92        ,"269,867",$39.20M,"Alvy Singer, a divorced Jewish comedian, reflects on his relationship with ex-lover Annie Hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages."
401,Solaris,(1972),167 min,8.0,93        ,"94,157",%^%^%^,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.
