,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
523,Chuyến Tàu Mang Tên Dục Vọng,(1951),122 min,7.9,97        ,"110,831",$8.00M,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.
524,Before Midnight,(2013),109 min,7.9,94        ,"163,761",$8.11M,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.
525,Một Nắm Đô La,(1964),99 min,7.9,65        ,"222,760",$14.50M,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge."
526,Ứng Cử Viên Bị Giật Dây,(1962),126 min,7.9,94        ,"77,124",%^%^%^,An American POW in the Korean War is brainwashed as an unwitting assassin for an international Communist conspiracy.
527,Đột kích 2: Kẻ sát nhân,(2014),150 min,7.9,71        ,"126,676",$2.63M,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force."
528,Doctor Zhivago,(1965),197 min,7.9,69        ,"79,144",$111.72M,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution."
529,Togo,(2019),113 min,7.9,69        ,"51,637",%^%^%^,"The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race."
530,Amarcord,(1973),123 min,7.9,****,"44,936",$0.58M,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.
531,King Kong,(1933),100 min,7.9,92        ,"87,675",$10.00M,"A film crew goes to a tropical island for a location shoot, where they capture a colossal ape who takes a shine to their blonde starlet, and bring him back to New York City."
532,Sức Nóng Màn Đêm,(1967),110 min,7.9,76        ,"79,173",$24.38M,"A black Philadelphia police detective is mistakenly suspected of a local murder while passing through a racially hostile Mississippi town, and after being cleared is reluctantly asked by the police chief to investigate the case."
533,The Big Sleep,(1946),114 min,7.9,86        ,"87,789",$6.54M,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail and what might be love."
534,Sing Street,(2016),106 min,7.9,79        ,"97,000",$3.24M,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.
535,Những Lá Thư Từ Iwo Jima,(2006),141 min,7.9,89        ,"165,901",$13.76M,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it."
536,Ba Sắc Màu: Xanh,(1993),94 min,7.9,86        ,"105,717",$1.32M,A woman struggles to find a way to live her life after the death of her husband and child.
537,Anh Hùng,(2002),120 min,7.9,85        ,"184,146",$53.71M,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors."
538,Câu Đố,(1963),113 min,7.9,83        ,"80,802",$13.47M,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?
539,Taeksi woonjunsa,(2017),137 min,7.9,69        ,"27,043",$1.53M,"A widowed father and taxi driver who drives a German reporter from Seoul to Gwangju to cover the 1980 uprising, soon finds himself regretting his decision after being caught in the violence around him."
540,Dancer in the Dark,(2000),140 min,7.9,61        ,"112,736",$4.18M,An Eastern European US immigrant with a love for musicals has to cope with the gradual loss of her vision.
541,Kẻ Trộm Siêu Thị,(2018),121 min,7.9,93        ,"80,299",$3.31M,A Japanese family with inadequate incomes depend on shoplifting to make ends meet.
542,Nghệ Sĩ,(I) (2011),100 min,7.9,89        ,"244,514",$44.67M,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.
543,Harold and Maude,(1971),91 min,7.9,62        ,"79,390",%^%^%^,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral."
544,Câu Chuyện Về Notorious,(1946),102 min,7.9,100        ,"103,411",$10.46M,The daughter of a convicted Nazi spy is asked by American agents to gather information on a ring of Nazi scientists in South America. How far will she have to go to ingratiate herself with them?
545,Kẻ Lạ Trên Chuyến Tàu,(1951),101 min,7.9,88        ,"136,594",$7.63M,A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.
546,Lời Thì Thầm Của Trái Tim,(1995),111 min,7.9,75        ,"66,196",%^%^%^,"A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses."
547,The Killing,(1956),84 min,7.9,91        ,"92,322",%^%^%^,Crook Johnny Clay assembles a five-man team to plan and execute a daring racetrack robbery.
548,Rope,(1948),80 min,7.9,73        ,"147,407",%^%^%^,Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.
549,Patton,(1970),172 min,7.9,86        ,"104,766",$61.70M,The World War II phase of the career of controversial American general George S. Patton.
550,A Christmas Story,(1983),93 min,7.9,77        ,"160,658",$20.61M,"In the 1940s, a young boy named Ralphie Parker attempts to convince his parents, teacher, and Santa Claus that a Red Ryder Range 200 Shot BB gun really is the perfect Christmas gift."
551,The Lion in Winter,(1968),134 min,7.9,****,"32,495",$22.28M,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. When he allows his imprisoned wife Eleanor of Aquitaine out for a Christmas visit, they all variously plot to force him into a decision."
552,Cat on a Hot Tin Roof,(1958),108 min,7.9,84        ,"51,264",$17.57M,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.
553,The Philadelphia Story,(1940),112 min,7.9,96        ,"71,290",%^%^%^,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself."
554,Bin-jip,(2004),88 min,7.9,72        ,"56,465",$0.24M,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.
555,The Adventures of Robin Hood,(1938),102 min,7.9,97        ,"52,662",$3.98M,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England, a Saxon lord fights back as the outlaw leader of a resistance movement."
556,Hable con ella,(2002),112 min,7.9,86        ,"114,705",$9.28M,Two men share an odd friendship while they care for two women who are both in deep comas.
557,Il conformista,(1970),113 min,7.9,100        ,"31,910",$0.54M,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident."
558,Amour,(2012),127 min,7.9,95        ,"102,672",$6.74M,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested."
559,Arsenic and Old Lace,(1944),118 min,7.9,****,"72,522",%^%^%^,A Brooklyn writer of books on the futility of marriage risks his reputation when he decides to tie the knot. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.
560,Rắc Rối Tuổi Teen,(2013),96 min,7.9,82        ,"89,410",$1.01M,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.
561,Thời Kỳ Đại Suy Thoái,(1945),111 min,7.9,88        ,"27,142",%^%^%^,A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.
562,Gegen die Wand,(2004),121 min,7.9,78        ,"55,724",%^%^%^,"With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love."
563,Kal Ho Naa Ho,(2003),186 min,7.9,54        ,"71,717",$1.79M,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her."
564,Tên tôi là Khan,(2010),165 min,7.9,50        ,"110,576",$4.02M,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.
565,Harvey,(1950),104 min,7.9,****,"56,723",%^%^%^,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows."
566,In Cold Blood,(1967),134 min,7.9,89        ,"27,611",%^%^%^,"Two ex-cons murder a family in a robbery attempt, before going on the run from the authorities. The police try to piece together the details of the murder in an attempt to track down the killers."
567,Laura,(1944),88 min,7.9,****,"48,969",$4.36M,A police detective falls in love with the woman whose murder he is investigating.
568,Sacrifice,(1986),149 min,7.9,****,"29,447",$0.30M,"At the dawn of World War III, a man searches for a way to restore peace to the world and finds he must give something in return."
569,Võ Sĩ Thế Thân,(1980),180 min,7.9,84        ,"36,707",%^%^%^,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.
570,In a Lonely Place,(1950),94 min,7.9,****,"32,998",%^%^%^,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts."
571,The Thin Man,(1934),91 min,7.9,86        ,"31,161",%^%^%^,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it."
572,"4 Tháng, 3 Tuần và 2 Ngày",(2007),113 min,7.9,97        ,"61,662",$1.19M,A woman assists her friend in arranging an illegal abortion in 1980s Romania.
573,Bronenosets Potemkin,(1925),75 min,7.9,97        ,"59,349",$0.05M,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre."
574,Jab We Met,(2007),138 min,7.9,****,"55,467",$0.41M,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.
575,Nueve reinas,(2000),114 min,7.9,80        ,"54,605",$1.22M,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"")."
576,Cô Giáo Elly,(2009),119 min,7.9,87        ,"54,902",$0.11M,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.
577,Super 30,(2019),154 min,7.9,****,"33,784",$2.27M,Based on the life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.
578,Hoje Eu Quero Voltar Sozinho,(2014),96 min,7.9,71        ,"26,373",$0.10M,"Leonardo is a blind teenager searching for independence. His everyday life, the relationship with his best friend Giovana, and the way he sees the world change completely with the arrival of Gabriel."
579,Vozvrashchenie,(2003),110 min,7.9,82        ,"46,315",$0.50M,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces."
580,The Lost Weekend,(1945),101 min,7.9,****,"38,520",$9.46M,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.
581,Cái Nóng Oi Ả,(1953),89 min,7.9,****,"27,640",%^%^%^,Tough cop Dave Bannion takes on a politically powerful crime syndicate.
582,Hiroshima Tình Yêu Của Tôi,(1959),90 min,7.9,****,"33,808",$0.09M,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.
583,Le cercle rouge,(1970),140 min,7.9,92        ,"26,458",$0.37M,"After leaving prison, master thief Corey crosses paths with a notorious escapee and an alcoholic former policeman. The trio proceed to plot an elaborate heist."
584,Miracle on 34th Street,(1947),96 min,7.9,88        ,"51,125",$2.65M,"After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mistaken."
585,Ascenseur pour l'échafaud,(1958),91 min,7.9,94        ,"26,964",$0.11M,"A self-assured businessman murders his employer, the husband of his mistress, which unintentionally provokes an ill-fated chain of events."
586,La règle du jeu,(1939),110 min,7.9,99        ,"30,054",%^%^%^,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau."
587,No Man's Land,(I) (2001),98 min,7.9,84        ,"47,863",$1.06M,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap."
588,La Belle et la Bête,(1946),96 min,7.9,92        ,"27,153",$0.30M,"A beautiful young woman takes her father's place as the prisoner of a mysterious beast, who wishes to marry her."
589,Sullivan's Travels,(1941),90 min,7.9,****,"27,272",%^%^%^,Hollywood director John L. Sullivan sets out to experience life as a homeless person in order to gain relevant life experience for his next movie.
590,C.R.A.Z.Y.,(2005),129 min,7.9,81        ,"33,427",%^%^%^,"A young French Canadian, one of five boys in a conservative family in the 1960s and 1970s, struggles to reconcile his emerging identity with his father's values."
591,Såsom i en spegel,(1961),90 min,7.9,84        ,"26,240",%^%^%^,"Recently released from a mental hospital, Karin rejoins her emotionally disconnected family in their island home, only to slip from reality as she begins to believe she is being visited by God."
592,Gully Boy,(2019),154 min,7.9,65        ,"41,172",$5.57M,A coming-of-age story based on the lives of street rappers in Mumbai.
593,M.S. Dhoni: The Untold Story,(2016),184 min,7.9,****,"62,416",$1.78M,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.
594,Dev.D,(2009),144 min,7.9,****,"31,312",$0.01M,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?"
595,Airlift,(2016),130 min,7.9,****,"57,768",%^%^%^,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen."
596,Badhaai ho,(2018),124 min,7.9,****,"35,884",%^%^%^,A man is embarrassed when he finds out his mother is pregnant.
597,Padman,(2018),140 min,7.9,****,"27,167",$1.66M,"Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India."
598,Đội Đặc Vụ Baby,(I) (2015),159 min,7.9,****,"58,731",%^%^%^,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India."
599,Batman: Vạch Trần Sự Thật,(2022),176 min,7.8,72        ,"694,851",$369.35M,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement."
600,Phía Tây Không Có Gì Lạ,(2022),148 min,7.8,76        ,"199,947",%^%^%^,A young German soldier's terrifying experiences and distress on the western front during World War I.
601,Quý Ông Thế Giới Ngầm,(2019),113 min,7.8,51        ,"358,295",$36.47M,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
602,Tombstone,(1993),130 min,7.8,50        ,"155,140",$56.51M,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating."
603,RRR (Rise Roar Revolt),(2022),187 min,7.8,83        ,"148,283",$14.50M,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.
604,Nhật Ký Tình Yêu,(2004),123 min,7.8,53        ,"586,242",$81.00M,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom. However, social differences soon get in the way."
605,Kiêu Hãnh và Định Kiến,(2005),129 min,7.8,82        ,"306,842",$38.41M,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?"
606,Hội Điểm Tâm,(1985),97 min,7.8,66        ,"412,051",$45.88M,Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.
607,Những Người Phụ Nữ Bé Nhỏ,(2019),135 min,7.8,91        ,"217,636",$108.10M,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms."
608,Rogue One: Star Wars Ngoại Truyện,(2016),133 min,7.8,65        ,"655,215",$532.18M,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction."
609,Tay Lái Siêu Hạng,(I) (2011),100 min,7.8,78        ,"661,326",$35.06M,A mysterious Hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbor's husband rob a pawn shop while serving as his getaway driver.
610,Gọi Em Bằng Tên Anh,(2017),132 min,7.8,94        ,"286,658",$18.10M,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
611,Người Hobbit: Hành Trình Vô Định,(2012),169 min,7.8,58        ,"842,213",$303.00M,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
612,Đại Suy Thoái,(2015),130 min,7.8,81        ,"445,069",$70.26M,"In 2006-2007 a group of investors bet against the United States mortgage market. In their research, they discover how flawed and corrupt the market is."
613,Người Đàn Ông Ireland,(2019),209 min,7.8,94        ,"401,637",$7.00M,"An illustration of Frank Sheeran's life, from W.W.II veteran to hit-man for the Bufalino crime family and his alleged assassination of his close friend Jimmy Hoffa."
614,Cuộc Di Tản Dunkirk,(2017),106 min,7.8,94        ,"679,204",$188.37M,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II."
615,Tám Hận Thù,(2015),168 min,7.8,68        ,"620,952",$54.12M,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
616,Chiến Tranh Giữa Các Vì Sao Tập 7: Thần Lực Thức Tỉnh,(2015),138 min,7.8,80        ,"944,991",$936.66M,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace."
617,Chuộc Lỗi,(2007),123 min,7.8,85        ,"286,483",$50.93M,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.
618,Kỳ Nghỉ Của Ferris Bueller,(1986),103 min,7.8,61        ,"368,247",$70.14M,"A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that."
619,Đã Đến Lúc,(I) (2013),123 min,7.8,55        ,"362,994",$15.32M,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think."
620,Đế Chế Maya,(2006),139 min,7.8,68        ,"319,328",$50.87M,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression."
621,Mạng Xã Hội,(2010),120 min,7.8,95        ,"720,783",$96.96M,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business."
622,Không Thể Mua Chuộc,(1987),119 min,7.8,79        ,"317,830",$76.27M,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him."
623,Biệt Đội Săn Ma,(1984),105 min,7.8,71        ,"424,497",$238.63M,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers."
624,Kẻ Săn Tin Đen,(2014),117 min,7.8,76        ,"566,813",$32.38M,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story."
625,Bộ Ba Ưu Việt,(2016),127 min,7.8,74        ,"239,609",$169.61M,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.
626,Cô Gái Có Hình Xăm Rồng,(2011),158 min,7.8,71        ,"473,037",$102.52M,Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for 40 years by young computer hacker Lisbeth Salander.
627,Quái Thú Vô Hình,(1987),107 min,7.8,47        ,"433,102",$59.74M,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.
628,Hoa Hậu Nhí,(2006),101 min,7.8,80        ,"493,762",$59.89M,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.
629,Lũ Quỷ Nhỏ,(1993),101 min,7.8,55        ,"96,028",$32.42M,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures."
630,Willy Wonka và Nhà Máy Sôcôla,(1971),100 min,7.8,67        ,"208,507",$4.00M,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.
631,Verdens verste menneske,(2021),128 min,7.8,90        ,"78,810",%^%^%^,"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is."
632,Siêu Cớm,(2007),121 min,7.8,81        ,"515,724",$23.64M,"A skilled London police officer, after irritating superiors with his embarrassing effectiveness, is transferred to a village where the easygoing officers object to his fervor for regulations, as a string of grisly murders strikes the town."
633,Đội Bóng Phi Thường,(2000),113 min,7.8,48        ,"221,554",$115.65M,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.
634,Cưỡng Đoạt,(I) (2008),90 min,7.8,51        ,"613,241",$145.00M,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris."
635,Dị Nhân Benjamin,(2008),166 min,7.8,70        ,"665,751",$127.51M,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences."
636,Manchester by the Sea,(2016),137 min,7.8,96        ,"292,548",$47.70M,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.
637,Captain America: Nội Chiến Siêu Anh Hùng,(2016),147 min,7.8,75        ,"807,813",$408.08M,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.
638,Giang Hồ Mỹ,(2007),157 min,7.8,76        ,"435,059",$130.16M,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film."
639,Tử Địa Skyfall,(2012),143 min,7.8,81        ,"708,206",$304.36M,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
640,Một Mình Trên Hoang Đảo,(2000),143 min,7.8,73        ,"607,240",$233.63M,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.
641,Captain Fantastic,(2016),118 min,7.8,72        ,"224,635",$5.88M,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."
642,Nữ Anh Hùng Misery,(1990),107 min,7.8,75        ,"220,192",$61.28M,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse."
643,Moonrise Kingdom,(2012),94 min,7.8,84        ,"356,137",$45.51M,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them."
644,Captain America: Chiến Binh Mùa Đông,(2014),136 min,7.8,70        ,"863,104",$259.77M,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
645,East of Eden,(1955),118 min,7.8,72        ,"46,940",%^%^%^,"Two brothers in 1910s California struggle to maintain their strict, Bible-toting father's favor as an old secret about their long-absent mother comes to light."
646,Boyz n the Hood,(1991),112 min,7.8,76        ,"145,678",$57.50M,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects."
647,Mary Poppins,(1964),139 min,7.8,88        ,"177,919",$102.27M,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father."
648,Kẻ Đào Tẩu,(1993),130 min,7.8,87        ,"303,699",$183.88M,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal."
649,Chuyện Ở Bronx,(1993),121 min,7.8,80        ,"147,896",$17.27M,A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.
650,La montaña sagrada,(1973),114 min,7.8,76        ,"45,141",$0.06M,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment."
651,Người Hobbit: Đại Chiến Với Rồng Lửa,(2013),161 min,7.8,66        ,"677,254",$258.37M,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring."
652,Trở Về Tương Lai Phần 2,(1989),108 min,7.8,57        ,"546,187",$118.50M,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip."
653,Sứ Mệnh Hiểm Nguy,(2005),119 min,7.8,74        ,"299,807",$25.51M,The crew of the ship Serenity try to evade an assassin sent to recapture telepath River.
654,Ác Nhân,(2010),144 min,7.8,67        ,"136,364",$0.13M,A secret agent exacts revenge on a serial killer through a series of captures and releases.
655,Võ Sĩ Đạo Cuối Cùng,(2003),154 min,7.8,55        ,"450,832",$111.11M,An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.
656,Công Nghệ Gen,(1997),106 min,7.8,64        ,"311,337",$12.34M,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.
657,Thirteen Lives,(2022),147 min,7.8,66        ,"59,949",%^%^%^,A rescue mission is assembled in Thailand where a group of young boys and their soccer coach are trapped in a system of underground caves that are flooding.
658,Biệt Đội Big Hero 6,(2014),102 min,7.8,74        ,"474,525",$222.53M,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes."
659,Kẻ Lập Dị,(2013),131 min,7.8,49        ,"122,912",$0.09M,A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.
660,Đảo Của Những Chú Chó,(2018),101 min,7.8,82        ,"176,382",$32.02M,"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog."
661,Awakenings,(1990),121 min,7.8,74        ,"148,207",$52.10M,"The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them."
662,Võ Sĩ,(I) (2010),116 min,7.8,79        ,"376,132",$93.62M,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness."
663,Mặt Trăng,(2009),97 min,7.8,67        ,"365,878",$5.01M,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems."
664,Dọc Đường Gió Bụi,(2005),136 min,7.8,72        ,"256,763",$119.52M,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins."
665,Gấu Paddington 2,(2017),103 min,7.8,88        ,"84,409",$40.44M,"Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen."
666,Bí Kíp Luyện Rồng 2,(2014),102 min,7.8,77        ,"346,207",$177.00M,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace."
667,Cú Ngã,(I) (2006),117 min,7.8,64        ,"114,139",$2.28M,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances."
668,Đi Tìm Vận May,(1969),113 min,7.8,79        ,"114,644",$44.79M,"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process."
669,Thuyền Trưởng Phillips,(2013),134 min,7.8,82        ,"471,598",$107.10M,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years."
670,Vinh Quang,(1989),122 min,7.8,78        ,"138,416",$26.83M,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates."
