,Movie Name,Year of Release,Watch Time (min),Genre,Movie Rating,Metascore,Votes,Gross ($M),Description
54,Life Is Beautiful,1997,116,Comedy,8.6,59        ,708956,57.60,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
55,Seven Samurai,1954,207,Action,8.6,98        ,351825,0.27,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him."
56,It's a Wonderful Life,1946,130,Drama,8.6,89        ,470800,,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
57,Harakiri,1962,133,Action,8.6,85        ,60512,,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
58,Sita Ramam,2022,163,Action,8.6,,59044,,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her."
59,A Dog's Will,2000,104,Comedy,8.6,,15481,,Follows the lives of 2 poor Brazilians and their schemes to get money and the consequences of their actions.
60,"Pretty Village, Pretty Flame",1996,115,Comedy,8.6,,17065,,"During the war in Bosnia, two childhood friends eventually become enemies, as the tragic and devastating circumstances of the war put them on the opposite sides and expose the most gruesome and cruel aspects of the human nature."
61,Nayakan,1987,145,Crime,8.6,,20998,,"A common man's struggles against a corrupt police force put him on the wrong side of the law. He becomes a don, who is loved and respected by many, but his growing power and influence exact a heavy toll."
62,The Chaos Class Is on Vacation,1977,97,Adventure,8.6,,18261,,Hababam Sinifi (The Chaos Class) continue to their adventures. Now first female students of the school history joins to the class and all Hababam Sinifi fight each other for them at first ...                See full summary »
63,Alien,1979,117,Horror,8.5,89        ,900364,78.90,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.
64,Whiplash,2014,106,Drama,8.5,89        ,898824,13.09,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
65,Gladiator,2000,155,Action,8.5,67        ,1530745,187.71,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
66,Parasite,2019,132,Drama,8.5,96        ,847746,53.37,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
67,Back to the Future,1985,116,Adventure,8.5,87        ,1233503,210.61,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
68,The Departed,2006,151,Crime,8.5,85        ,1351510,132.38,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
69,The Prestige,2006,130,Drama,8.5,66        ,1359833,53.09,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
70,Léon: The Professional,1994,110,Action,8.5,64        ,1184974,19.50,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
71,The Lion King,1994,88,Animation,8.5,88        ,1081091,422.78,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
72,Apocalypse Now,1979,147,Drama,8.5,94        ,680232,83.47,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
73,The Pianist,2002,150,Biography,8.5,85        ,852438,32.57,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
74,Psycho,1960,109,Horror,8.5,97        ,685323,32.00,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
75,The Usual Suspects,1995,106,Crime,8.5,77        ,1101606,23.34,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
76,Casablanca,1942,102,Drama,8.5,100        ,581877,1.02,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
77,American History X,1998,119,Crime,8.5,62        ,1140364,6.72,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
78,The Intouchables,2011,112,Biography,8.5,57        ,878320,13.18,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
79,Once Upon a Time in the West,1968,165,Western            ,8.5,82        ,336141,5.32,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
80,Grave of the Fireflies,1988,89,Animation,8.5,94        ,285917,,A young boy and his little sister struggle to survive in Japan during World War II.
81,Cinema Paradiso,1988,155,Drama,8.5,80        ,267443,11.99,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
82,Rear Window,1954,112,Mystery,8.5,100        ,500503,36.76,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend."
83,Banshee,2013,50,Action            ,8.5,,10455,,"A thief gets out of prison after many years and decides to try and locate someone from his past. After a series of events, he ends up becoming sheriff. Now he has to face his past while in his new position as sheriff."
84,Modern Times,1936,87,Comedy,8.5,96        ,247553,0.16,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
85,Kaithi,2019,145,Action,8.5,,35729,,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy."
86,City Lights,1931,87,Comedy,8.5,99        ,188050,0.02,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
87,Woman in the Dunes,1964,147,Drama,8.5,,21079,,An entomologist on vacation is trapped by local villagers into living with a woman whose life task is shoveling sand for them.
