,Movie_Name,Year_of_Release,C_Rating,Watch_Time_(min),Genre,Movie_Rating,Metascore,Votes,Gross_($M),Description
764,Man on Fire,2004,R,146,"Action, Crime, Drama            ",7.7,47        ,371031,77.91,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect."
765,Coraline,2009,PG,100,"Animation, Drama, Family            ",7.7,80        ,241512,75.29,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets."
766,Mission: Impossible - Fallout,2018,PG-13,147,"Action, Adventure, Thriller            ",7.7,86        ,343444,220.16,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong."
767,Black Hawk Down,2001,R,144,"Action, Drama, History            ",7.7,74        ,405656,108.64,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis."
768,Blue Is the Warmest Colour,2013,NC-17,180,"Drama, Romance            ",7.7,90        ,156782,2.20,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss."
769,Kingsman: The Secret Service,2014,R,129,"Action, Adventure, Comedy            ",7.7,60        ,683676,128.26,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius."
770,Wind River,2017,R,107,"Crime, Drama, Mystery            ",7.7,73        ,261299,33.80,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.
771,Home Alone,1990,PG,103,"Comedy, Family            ",7.7,63        ,602790,285.76,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas eve."
772,Airplane!,1980,PG,88,Comedy            ,7.7,78        ,247721,83.40,"After the crew becomes sick with food poisoning, a neurotic ex-fighter pilot must land a commercial airplane full of passengers safely."
773,Zodiac,2007,R,157,"Crime, Drama, Mystery            ",7.7,79        ,559321,33.08,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree."
774,Another Round,2020,Not Rated,117,"Comedy, Drama            ",7.7,79        ,172118,,Four high-school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.
775,Blazing Saddles,1974,R,93,"Comedy, Western            ",7.7,73        ,144102,119.50,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary."
776,Detachment,2011,Not Rated,98,Drama            ,7.7,52        ,90738,0.07,A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment.
777,The Game,1997,R,129,"Drama, Mystery, Thriller            ",7.7,63        ,407834,48.32,"After a wealthy San Francisco banker is given an opportunity to participate in a mysterious game, his life is turned upside down as he begins to question if it might really be a concealed conspiracy to destroy him."
778,The Color Purple,1985,PG-13,154,Drama            ,7.7,78        ,90008,98.47,A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.
779,Training Day,2001,R,122,"Action, Crime, Drama            ",7.7,69        ,448706,76.63,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.
780,Tangled,2010,PG,100,"Animation, Adventure, Comedy            ",7.7,71        ,467273,200.82,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
781,Ocean's Eleven,2001,PG-13,116,"Crime, Thriller            ",7.7,74        ,589434,183.42,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.
782,Primal Fear,1996,R,129,"Crime, Drama, Mystery            ",7.7,47        ,230870,56.12,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep."
783,Blue Velvet,1986,R,120,"Crime, Drama, Mystery            ",7.7,76        ,205435,8.55,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child."
784,The Count of Monte Cristo,2002,PG-13,131,"Action, Adventure, Drama            ",7.7,61        ,142146,54.23,"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge."
785,Harry Potter and the Deathly Hallows: Part 1,2010,PG-13,146,"Adventure, Family, Fantasy            ",7.7,65        ,565818,295.98,"As Harry, Ron and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows."
786,The Lego Movie,2014,PG,100,"Animation, Action, Adventure            ",7.7,83        ,367187,257.76,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis."
787,Brokeback Mountain,2005,R,134,"Drama, Romance            ",7.7,87        ,366594,83.04,Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.
788,Silver Linings Playbook,2012,R,122,"Comedy, Drama, Romance            ",7.7,81        ,720211,132.09,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
789,Deliverance,1972,R,109,"Adventure, Drama, Thriller            ",7.7,80        ,113671,7.06,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country."
790,The Bourne Supremacy,2004,PG-13,108,"Action, Mystery, Thriller            ",7.7,73        ,472532,176.24,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive."
791,The Last of the Mohicans,1992,R,112,"Action, Adventure, Drama            ",7.7,76        ,176804,75.51,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.
